211988,237134,-13160,16811,77938,7660,198924,-50093,59606,6828,147523,76652,63134,10600,65411,-90397,-39851,-39971,125551,-142459,160061,24815,-116787,-18090,93697,27147,-74739,198253,14075,144726,46461,-64201,92489,122479,198889,-77989,-7126,-63243,103454,-188941,-59024,-117374,80884,143311,134101,19891,-188594,-160734,87696,57389,131366,181767,121620,-142907,83997,23930,115376,183862,157420,-45912,131077,-43111,70249,12976,164834,27863,42353,-74317,-109894,-4529,-19236,79854,228283,-67023,-3221,37316,-13100,110130,-68577,166468,147010,-45332,227947,178448,123945,71873,35572,-98695,2182,59030,-22536,60451,-28694,-72850,-56720,38251,54778,-75287,167851,-6965,32639,9393,12244,495,-100771,48432,98978,189596,80865,-71163,-159022,107309,42153,-81860,177434,-40379,221665,132072,57835,155424,-56611,180930,229888,165533,83874,179008,207482,136440,-3153,-41134,34860,21809,-71591,29068,-9064,-42412,74912,117564,-69544,-183479,56070,236939,174323,78357,13332,66978,120116,32852,-42983,-32047,49733,198621,175135,67385,127989,-137596,-277,-95620,151250,45003,98698,151319,227782,181289,74695,271933,131309,4240,261388,54793,208153,160068,135615,120913,202380,183338,-166327,8778,-24099,-82353,-105312,81127,115914,101156,-31785,95043,-45927,193092,131560,158452,45352,-977,31806,-14084,-149004,-174977,-123488,-25469,-259938,-306749,-53227,-31431,116431,-69254,-112833,-91682,-329232,-221292,211900,205216,-71951,-27641,47393,115992,-183945,21041,358457,376926,319256,337756,94006,1681,175535,-142157,106361,135839,167030,199225,82983,-200272,-65175,-139992,27592,-9347,44715,-11989,23775,56972,-140232,-209076,143050,174330,49700,117518,40038,89389,-46616,-213426,15690,212613,-90856,-107349,127116,-136649,-129657,-203043,1087087
4568,127224,-166763,-215963,-3501,-191962,-112447,-121945,-23923,-29057,-109735,-227058,-24504,-168305,7959,-63097,62684,-71403,-8164,56900,-67685,25188,41081,-41111,-68656,-138436,-207712,-146805,-186521,-139036,81604,-125806,-88304,26355,-51716,-118881,-152035,-212557,-78649,-216321,-126325,44879,-156722,40635,6437,-123868,1086,-7677,-8149,-135612,23073,27098,135523,105295,110239,131424,-85517,154962,68955,95372,-25614,44333,61546,103399,-118484,-127549,-265411,-129684,-28757,69302,-35636,6726,-114625,-153068,-120258,2435,-109100,-157078,-20802,-78614,83901,99840,45429,104603,-126882,172754,-148572,-131365,-70911,55801,-38769,-133025,-128073,-2164,-83520,-11845,135365,-111942,171323,42528,197921,-81357,141875,-12053,135220,131648,-120614,27303,25119,-92129,-18592,-11063,-154558,49283,-95997,125731,-129037,-40831,119923,104813,220499,255161,34941,139430,109785,40508,149049,139100,-97114,-229440,-89351,-139243,-156690,35995,-9936,-41702,-12996,85695,77966,-93776,-160408,-27551,-164902,-41157,112759,-185773,47636,4356,-23657,60094,-22840,9717,-89795,125258,160827,162833,12685,-37745,195237,35221,26311,-80155,24023,136164,145760,66176,-23929,-30303,45060,-55538,-90396,-6495,115023,-123433,11111,63522,179016,95635,23796,110921,193395,199960,-33737,-42696,282734,265327,198540,126280,165549,131484,275424,219898,-161537,-208255,-148919,-226406,-243594,-129098,-177274,-108524,-5047,5190,-144854,62825,-108259,-153191,94746,39115,27493,90791,93579,151344,194514,149702,161893,129699,-29103,-52329,207935,-31252,128147,106224,138549,76898,221521,68661,79391,-10479,-17062,-48636,147518,220431,128687,117351,89998,188892,85177,-139622,205915,89268,-32435,6797,-146081,-84157,-9746,1502,-101233,200013,10695,-52042,-38744,56512,-162814,-85351,-118103,-74268,832637
-23946,35410,-119591,150290,-48064,10674,161442,24306,175069,-78057,-67379,-106696,-125189,83991,2084,90431,-4439,40016,120087,164272,53922,-75458,-48686,-158729,-71548,112987,102564,178676,48621,153385,-29372,-152737,-67867,-64857,-80502,150432,-87453,-76088,-52845,-66766,25125,26115,125735,212927,48071,-69715,22957,20330,-87953,-120273,-12967,-61430,-10716,-20545,158971,-154733,-180157,11054,76082,-134577,-114424,-24270,158399,70290,69841,-164381,-67056,129868,-148762,76951,-100205,98627,-104089,77477,-90599,-24311,58103,123218,35657,77188,174714,-114903,-132485,-24078,48491,117130,-4446,-46958,140525,-73058,-59840,48687,179917,-120338,152254,78335,155971,175397,2553,-43087,97409,-29940,38912,-111297,-26796,-37888,119789,8103,1611,-152958,122539,77546,-64694,139325,115474,-73114,-74035,-32208,65216,51590,164440,-99686,-129401,135252,36513,-56334,-16523,-41190,-4121,-10146,-40158,50811,116276,-119383,-93639,67928,153986,-73128,125401,-60007,64010,-114289,-42175,184281,-7568,-24996,-85926,37213,98268,-172053,96409,47978,123189,221710,-87253,149921,-119433,-90139,102136,44126,154820,-4532,184190,105448,-55268,113000,115319,-18275,188750,142115,61236,23926,-111874,-130469,97342,-15778,-157854,-127764,-65508,88869,-21250,13496,-35398,1631,-74243,217774,-66055,-7705,5676,154960,110820,250136,-44403,107535,62132,80517,-28000,-61528,114549,202223,-24818,-64138,26379,59924,-58195,63273,23757,30813,-143885,-132016,-165588,89843,67204,144434,93451,-134425,-123109,127209,-2103,42455,-54890,-39508,194783,213536,-4701,227645,-79120,75916,163127,-5961,246390,152156,-75635,235400,31453,169317,149369,89677,221521,220474,96657,-31360,182012,245503,122614,59826,6153,89039,65121,125206,211905,124477,83318,82849,-14633,-50807,-25391
130270,-7184,-51557,-55247,-50991,-111146,-108024,-83412,27958,2958,29480,77145,-31270,103473,-53108,181058,160057,57923,190627,22602,-161477,52550,-42118,44956,39907,159906,125633,-96699,-80225,165099,-56316,116979,15330,-120283,-58033,-27239,55821,19755,-123851,-163457,-175403,-62645,-87606,-39336,37727,9895,-77625,19765,114043,193988,73993,111070,-34002,-26722,-81049,46258,36744,85355,488,-113467,-3574,109273,-187139,-33870,-112605,92970,85729,31056,143573,-113101,106175,18263,178663,-85271,-67367,2955,37677,97672,19833,-46077,2535,104386,89306,-52395,258061,137667,-76911,100424,-74798,128817,-126742,105690,42673,-126199,-16675,121882,-67068,24748,162055,137693,74472,-114062,-54349,185267,-186398,49566,49045,-209342,-33084,-38844,-78931,-154353,58055,-879,-202327,-75552,181741,35620,116576,55475,44334,143894,142232,-23134,36422,-149450,-115992,-122448,77332,142084,-57532,-157174,-141503,-58117,-200602,-179581,26657,200094,39066,180981,108222,19964,11496,-53224,168928,-48688,54756,23907,19248,137714,18626,11830,116426,-11655,46419,184148,12157,-3620,81841,-92936,-125687,-23924,13391,174671,88086,-102909,151132,202296,-184368,-178737,15631,129338,-59522,-42447,-121690,-167712,-3587,-130477,6355,204123,63653,-141427,80634,164181,-83466,106270,41904,151094,-60390,-145139,-159017,-37895,205993,-19112,-84573,216073,-23035,176058,210201,256209,98848,166954,4281,240994,174416,189821,179210,242452,40702,89734,90650,-34363,186284,-9103,99211,202692,152570,181890,156537,43660,241076,115274,86610,328947,262637,141857,86918,246202,183089,263820,254194,148080,-10755,-13847,145669,98301,83389,136108,46063,208486,-64422,-46636,150094,-10391,-124784,50830,-58341,172,124063,101483,-112015,162063,136319,-58413,-131560,-34012,-71252
-82811,79077,-181325,-141898,55421,17733,-241359,-138242,53314,-196267,-54062,-138137,-145586,108322,-103220,-104502,113520,-92677,-133593,-31496,-105532,-137304,-5065,-200211,147977,22547,-52179,76231,114458,-62580,71252,-135997,11014,-49213,4828,62898,179167,73467,40149,-152249,-143868,90846,-2650,119012,36540,135194,-89055,138015,112608,-90192,15706,-98393,-156037,-105458,15118,-75841,43552,86026,-216966,-218708,12470,52678,-121116,-209066,-92083,39528,-156,-62645,-160559,123130,-67951,24587,8015,51815,-113429,-154491,88275,-19826,-225029,-70995,55058,-53970,-124840,-89629,118970,93321,21377,2973,230993,-63148,55276,244495,70675,109522,-30309,107923,-135697,-153659,137550,200351,91985,156682,5173,-173399,67529,-146310,162582,171920,32662,-121572,-174983,-190870,140822,156393,77204,208733,68966,38714,-150853,86348,91220,153047,15870,-108346,-154103,-53133,-119656,-206139,112876,209214,170920,120215,63870,-79829,-114928,61534,101813,-10616,138324,180608,-166010,-171505,-210603,100540,202501,-65537,-49471,185629,87611,162752,-32283,-215984,249435,232381,199422,108835,-41600,130517,203691,-12963,122586,-49733,59640,120236,-1539,73189,-104457,-151465,13774,218453,269205,302779,-29151,76338,-26501,-160323,9977,-68221,-71262,153258,116845,-24243,-6494,-163406,-103934,-70430,2025,167348,-148816,-175785,-25370,-275557,-141058,-92171,104024,48294,243294,-31004,62605,-95341,-124011,-59425,8206,-2648,54588,-43384,52441,-21881,-21618,113419,41348,162985,48673,187232,128575,666,-305914,-154327,62248,-37910,143810,62129,47331,-75780,126635,25106,237218,122693,246817,14718,62102,71793,-79014,-31217,16142,59033,-20088,163458,42692,186762,-212581,-33035,-49954,29900,116604,-164207,-5683,-133586,99594,-11831,-66305,36185,-145841,-71429,-152962,-129161,291053
-77281,-177815,-146830,-267375,-303976,-56900,109664,81069,-110441,-95644,59090,-265272,-449858,13026,-102317,132634,-103135,-266510,-191605,-59684,-161123,-153377,-254552,42629,38240,-164460,146172,-96407,-51162,-64330,130935,-102337,-98333,-98390,137131,-118185,-10441,-150759,-154773,7661,40452,56347,14880,-18235,137899,-270742,-77714,109360,35952,126766,58048,-53882,143665,-147338,-122265,-127594,91158,3903,219188,-21331,-15032,156075,132193,97973,-128866,-40926,-213352,-78042,-41824,-1396,89127,243082,-110037,-210335,-89782,-186054,-112116,90872,85375,216758,83554,-168441,-78936,-71591,58975,-17334,-180230,-94432,-99286,-115188,-68213,115603,98016,-137337,36909,117814,-201979,-36972,-67868,-195512,-138740,12761,109363,-20261,-149972,-44289,-71245,-264911,93046,-193532,-20713,-37932,79972,85325,-42885,80986,-102071,-56854,-96798,-76824,-104770,50320,-199563,-121580,-166073,-55955,-130994,44329,-11051,30142,-54595,107115,89619,101856,41634,76033,-25352,-17077,-3450,-30495,-11641,91003,147132,-72979,95137,-13943,405,-19625,32485,125195,102647,148408,82328,-54922,-83363,892,-113904,37228,-1036,-141988,55714,-83020,40163,140297,62974,-83180,-67319,13592,38197,93923,80215,30288,181060,-84101,105303,179862,-102071,5325,93265,-194916,-68766,-22429,-6293,151801,-175848,-94373,-249621,-200548,-117704,-266927,-191431,-75109,33895,99176,-213630,-53970,275126,294844,164972,125093,-87367,-65025,-50152,-112419,82872,78883,114662,-47855,158811,165771,-131716,127721,290785,95500,33560,234297,12812,-40084,-24564,326131,155827,128786,284855,240632,-8729,106059,-132668,126505,-8918,288325,-99347,6451,84565,-170629,-121606,81056,-25023,208388,47474,176843,-115422,-140553,125866,66424,124176,185611,54877,58915,66924,-145440,-67491,-58800,163476,200027,85296,268063,675263
93936,148756,-47665,79321,1616,168908,205225,162550,149372,71643,120886,-1293,39581,-21715,-17051,-90090,172,-14221,165697,-54918,110556,-54553,15558,112929,-25567,96152,-36207,-12352,-60166,-99665,178080,169035,-57715,-40955,34966,109752,-3747,105669,178271,-29217,99636,-91457,-614,126942,-48531,152929,7208,186840,26027,165850,72798,111464,223850,90048,157293,64917,235741,15131,-57839,-117484,119177,95297,90028,50551,139183,46629,49658,212826,-108162,15684,-101594,108434,35718,-24040,44595,-86932,146540,-972,64188,99436,109171,9729,-105280,17157,-113039,-45350,123457,32913,122123,-74802,-40311,136243,-37765,89070,-120245,62117,161730,122399,163802,-47275,129138,33715,30735,-95344,122510,145926,219614,33525,19842,-35046,157777,269863,5371,-53304,75781,160841,-5178,176350,171362,178852,93531,-49516,98767,19991,167660,127466,111699,181542,-40391,70626,67051,-23102,-16254,-164168,-70127,23612,78217,10961,175932,234941,19075,-118628,31187,-79072,104348,21870,-6306,134637,-77561,-143631,-107783,149141,149283,191587,108771,164618,197982,-50213,-175589,36263,-39270,237603,110371,110822,202997,118975,36446,227561,164042,58812,141340,42688,233842,136701,-137174,78576,110314,96253,150047,23282,86865,167893,63255,-30790,124828,-67431,170888,13,156491,27288,49469,-108672,43149,-143474,-197394,-198023,-50723,-267325,-287319,-191826,-36167,-307349,-204848,-262751,-162914,23368,-246458,-37666,-253528,-261791,-156682,-140753,-319137,-66425,-127641,22030,-187454,-261697,-112719,-223906,-157642,-211093,-238220,-110654,-157898,-211648,-252336,-366874,-162169,-196143,-155901,-94226,-316488,-371413,-419952,-320870,-129154,-163135,-46369,91455,-92661,-137974,-175101,-268039,-198807,-250938,-40413,-64152,142318,5630,-301180,-462344,-280556,-527986,-372495,-26792,666148
-144680,152582,169578,-10153,262138,-42362,128033,-82577,35430,73501,94160,168965,177162,128085,120862,-26521,110255,-85178,100061,-112356,3865,223336,94607,168649,-106306,-129006,-46866,119341,-104884,-107526,-106635,107982,-180821,-14560,-168276,72674,-140200,85293,-31656,23269,-214367,-62682,58248,-29482,17557,-207308,-190427,-106132,-27630,112932,147301,-122075,141544,-118489,-92379,111648,173136,71314,128410,-55489,-670,113061,-91496,-34841,132221,-127723,-73913,-50007,207117,85371,22475,36192,73516,21416,48647,196788,-33709,28883,201585,-11845,209913,101198,177727,1500,207739,71751,-51698,99110,-53379,-88480,82718,-63286,24776,-12338,48788,-82318,6151,-134396,77745,-110176,-29065,-81066,59267,-58006,-94414,75072,93295,114475,-29004,-10498,-100879,-135080,83735,-130956,-98892,55498,-12540,148175,119155,-136236,82271,57127,-31171,136952,88097,-20792,44297,79510,47327,-21102,90126,164544,-33301,-64856,-17630,140506,-83217,144675,195645,143840,136308,-10350,25308,162114,-147450,77807,96754,13912,-15633,-101670,50655,138468,-4498,28130,120627,155372,27076,107211,30982,-40631,142184,209245,126117,63088,139689,-79276,55222,71682,-63840,93798,210195,215376,255899,-147502,-30305,-101183,-161980,-70124,-79587,124167,-183313,-105920,-13383,-6678,-31908,31928,119003,139650,160568,70028,-18319,-4366,-96270,-24643,18953,-79007,188279,51281,26807,222332,-337150,-234236,280473,203413,276103,146405,206388,268987,-303053,-55713,-11093,6977,18527,167875,234634,116934,-312254,-288965,-13414,156184,185972,234036,47659,139808,-227111,7246,52921,241262,13560,-85018,131950,84496,-425404,-146016,-97171,49666,21382,128929,-70140,112640,-359611,19488,29104,133687,3151,189321,-817,-109877,-111178,-279991,-116453,-39122,51037,133680,-147119,46397,10488
-32851,200328,1576,147678,44052,218129,206039,3544,127752,11675,199037,181528,-66568,-75781,-97536,-160404,233616,176157,-33153,207983,29197,-31281,63272,80830,262261,47684,140907,28011,168331,125265,6995,241648,256308,132541,163306,222702,134616,209221,24378,224065,155150,83650,138781,101125,140224,-17715,-38608,-15565,153008,77414,57890,1922,166413,25592,166081,16474,-39841,127212,162560,-128423,-68786,20209,108503,-127335,167407,74466,56866,-34400,-92291,-150361,-18681,-84345,49810,177915,67923,-83895,-110436,43835,111143,-130548,171323,51693,108802,-62782,-16693,118670,-92343,-115016,112674,203234,180805,-43919,-16276,87477,-64031,184172,77157,-117630,114219,136045,86658,-6929,119205,142156,72251,7084,-109549,-43489,-56979,123158,124043,164356,-232703,-184715,-353915,-229760,-80200,-35040,50240,114393,139604,-160624,-142125,-118503,-56821,-150134,-60525,-90063,40806,-168925,-215480,-17312,-258655,-80504,-37460,-87694,-107304,-59673,-120735,-93633,92523,-82549,-29286,-67901,33003,76586,-73331,67216,-135216,3471,-66172,-33537,52953,-143127,-38923,-55131,-103209,-150716,-34185,-110238,30592,170463,-109741,55915,-94045,46306,127271,-7130,-10014,-139315,-228683,-187136,-146235,65236,-76746,-224870,-46257,-297419,-314937,-259286,-66872,-97689,12944,107913,-224846,-84240,-349529,-240903,16312,51992,128423,-14546,123369,-48191,-10127,-125270,-5539,-12859,-200440,17305,182180,110216,-18940,143650,1914,92806,-181950,-216806,111653,64311,186090,91127,133309,42446,-8405,37066,161839,42146,173817,278165,201301,309383,188975,-66905,119760,60238,137938,154986,99665,228286,148268,-9778,-46152,-67409,135281,249952,185901,148743,-1939,78367,-162118,-3444,-168902,-53946,-115859,-109066,-125680,-276856,-156413,-317235,-188726,-194597,46368,-21646,-16061,-57096,834918
189934,67165,43180,150296,243352,197571,70864,97313,-95091,-78106,19660,25536,-68239,176881,-68939,-97204,-30138,212523,125804,187344,13117,76625,157051,-96767,89282,-74002,39661,-12961,86297,35415,-78118,19742,-7264,-32057,146591,56441,-53832,-91513,-74183,21422,-152894,52190,-30510,-187802,-136683,-236574,-55453,-209856,41729,-5693,-98131,-84811,77485,-91923,32605,-104338,-115817,89960,41069,40583,-60470,-138487,-163103,-28598,159879,69728,-111967,142813,18860,-176259,-72132,-161537,160346,216363,70591,94808,172935,42082,-138092,-119658,-125108,-11582,44042,143808,131006,81680,114682,31751,50055,140741,-102591,-83883,124875,38860,101913,-53552,83894,46235,29940,157135,27858,-6944,16629,-87497,-201027,-6867,63599,-189961,-10958,-174812,-190551,-110044,-11460,-211739,-110733,-107,-179447,35964,-147346,12886,25111,84178,73396,-57822,11292,54492,204445,-15867,49584,124543,225040,-43001,-76160,-198642,-116520,-44571,194093,20961,-6645,-17557,-40819,-73549,-310305,-93599,-59513,236242,102831,34490,-130612,-160884,-97864,-138537,55358,26805,-17331,-40600,138915,-103413,-114081,161323,50272,57141,-166305,-65594,-69889,-40950,-180248,45512,19200,-76126,79550,-209909,-196809,-28734,-27301,114366,-81051,-89749,115394,-181470,-210426,32309,71392,213072,49582,-70835,-193662,96748,-26469,55923,109972,-29728,-148112,-54255,261906,250605,-5421,89304,140322,-69152,-262403,-26602,226658,157965,170699,-19373,-14161,-191585,99561,290031,252162,331388,122200,257175,-12392,256682,-107298,-80684,76937,49667,257143,186069,137010,256378,-76976,186429,80703,190252,163544,306030,327103,198205,95261,-53489,160964,285003,337279,22062,125805,-12208,25099,-190364,-32543,153400,50894,-147,80828,-52135,-71470,-42509,265061,312929,133870,239798,252532,111286,-1
